segment_id,material,risk_method,risk_score,risk_band
46210c35-12fa-4d4c-8d95-9c0ed884f9f0,CON,PCCP_RULE,1.0,Low
22373f62-b193-496a-9b1e-a64cdd1b5515,CON,PCCP_RULE,1.0,Low
5305ed01-cce9-4cb0-9880-be0f97834258,CON,PCCP_RULE,1.0,Low
fdb0995e-ffec-4512-a8dc-6bb0f5da20ff,CON,PCCP_RULE,1.0,Low
09d3f7f7-fce9-4971-985a-377e99bccfbe,CON,PCCP_RULE,2.0,Medium
45bc6de8-57ea-40b3-af95-e1e49a44a677,CON,PCCP_RULE,3.0,High
9ec96f26-aea9-4b68-8318-8082cf7250a5,CON,PCCP_RULE,3.0,High
8235458d-32b1-4792-a137-6625883ba0a5,CON,PCCP_RULE,2.0,Medium
26345f61-8fe2-4502-aa26-caa1f1d6c10a,CON,PCCP_RULE,2.0,Medium
13976a58-e442-4098-8197-8744de25ad11,CON,PCCP_RULE,1.0,Low
f1075586-d30d-4124-8a96-ff674b2fbdc8,CON,PCCP_RULE,1.0,Low
d0e12455-a4d5-4168-87f3-85646fb9c3ec,CON,PCCP_RULE,1.0,Low
9250e203-53dd-485f-9c5b-8090b0091b94,CON,PCCP_RULE,1.0,Low
c42ddcbc-90da-4d0b-8541-99f2776c357a,CON,PCCP_RULE,1.0,Low
95c88197-9fac-450b-9404-e04cd3ea3cbf,CON,PCCP_RULE,1.0,Low
724ba87d-8355-4d35-bb28-403e161d480e,CON,PCCP_RULE,1.0,Low
36bf0c15-b8b8-4efa-8c7c-9d2fe6aba55d,CON,PCCP_RULE,2.0,Medium
09abf038-4503-4a20-b912-851aa84dc041,CON,PCCP_RULE,1.0,Low
65070f41-e7f0-4084-88ab-e0b11dba4447,CON,PCCP_RULE,1.0,Low
190b4ae9-02f2-4cbd-b6f6-70781a27ddaf,CON,PCCP_RULE,2.0,Medium
495a25a6-c914-4755-9477-2cb248d729ae,CON,PCCP_RULE,2.0,Medium
e8925c2d-7bbd-46fe-b791-ded40d2af553,CON,PCCP_RULE,2.0,Medium
5b31d00f-9b54-43b4-abb9-ebfc0173e29a,CON,PCCP_RULE,1.0,Low
a59d2d18-bbf1-4c15-9ccf-c03a1392bb1e,CON,PCCP_RULE,2.0,Medium
7ddbb40f-343f-4818-9611-cf75f3cfcc00,CON,PCCP_RULE,1.0,Low
d5b31976-8768-4fd6-8e92-086a3cf587a1,CON,PCCP_RULE,1.0,Low
8290098a-58da-445b-81a9-7e8ed8820761,CON,PCCP_RULE,1.0,Low
d4b287bb-8667-4f04-a4f4-08c35ec48d22,CON,PCCP_RULE,2.0,Medium
d2d69c68-57e0-46e4-9463-674093b6e53d,CON,PCCP_RULE,2.0,Medium
f746e4f3-12b8-42ea-a0c8-926d6f9291e4,CON,PCCP_RULE,2.0,Medium
5456fc1a-ef4e-4763-a12a-7c70657e1fa3,CON,PCCP_RULE,2.0,Medium
db4874b0-774e-4381-91e6-b5cf79624597,CON,PCCP_RULE,2.0,Medium
3b6279fd-0a0d-402c-a869-8aac0d79d0f9,CON,PCCP_RULE,2.0,Medium
370a3f3c-29ed-4db8-ad77-19944ba703e4,CON,PCCP_RULE,1.0,Low
d8d0646f-1ef8-4906-a048-5544befef2e0,CON,PCCP_RULE,1.0,Low
540b4c19-5704-4b4d-b2e0-f494a28f7687,CON,PCCP_RULE,1.0,Low
9fe0ce64-0112-4e4b-8b04-894aeec23024,CON,PCCP_RULE,1.0,Low
dd9fcfd6-243d-4d52-947b-75163ca60ab5,CON,PCCP_RULE,2.0,Medium
07e73069-5d0d-4d88-808a-0744de67a0e8,CON,PCCP_RULE,3.0,High
cf9361ec-365f-45aa-9a45-571ea6370d7d,CON,PCCP_RULE,2.0,Medium
6209c2b4-6b1b-41f4-aed7-03a81480787c,CON,PCCP_RULE,1.0,Low
d71ff534-453e-4748-bac2-db035efab024,CON,PCCP_RULE,1.0,Low
83026e92-d683-47fb-b68c-8b02202b5719,CON,PCCP_RULE,1.0,Low
a22e48a5-2347-43dc-9d5d-b17d6d99664d,CON,PCCP_RULE,1.0,Low
25799753-51d4-4dde-867d-f2c16c2e2a3c,CON,PCCP_RULE,1.0,Low
4cdebb62-a7b4-4118-9a08-1cbed696c9ab,CON,PCCP_RULE,1.0,Low
9e10ead4-9171-48dd-a9be-2d0d3fc6b15e,CON,PCCP_RULE,1.0,Low
af414a18-b46c-4412-bbf1-cf6d1e6d49bd,CON,PCCP_RULE,1.0,Low
69c99d3c-b354-4ddd-82e5-9dd8c2b4c455,CON,PCCP_RULE,1.0,Low
c182db79-0ad9-4e2f-b3a6-5bddcfca7b5c,CON,PCCP_RULE,2.0,Medium
8d533fcd-2534-4676-b6c7-5614b03e30c3,CON,PCCP_RULE,2.0,Medium
1a90c580-80a6-4881-a10c-8229860fc7ce,CON,PCCP_RULE,2.0,Medium
a428524a-be18-4eb1-8925-72b96340dc7b,CON,PCCP_RULE,3.0,High
d01c73ee-9d89-46f2-a30d-f135c55deba0,CON,PCCP_RULE,3.0,High
237b6ed1-342f-4844-87c1-40837d2156b9,CON,PCCP_RULE,2.0,Medium
04964b34-dce7-4784-8d7c-93d1ff651293,CON,PCCP_RULE,2.0,Medium
7f8c2c12-4170-476b-a280-ba0c1730d790,CON,PCCP_RULE,1.0,Low
a723e96a-b89e-49dd-af9f-fc7be3087b82,CON,PCCP_RULE,1.0,Low
63a88180-bb86-43d6-a247-d31ca6d347e0,CON,PCCP_RULE,3.0,High
9b118b45-a3f9-4039-8d68-9e9a28b69221,CON,PCCP_RULE,2.0,Medium
cabfc9e6-c6d8-4ebd-9a92-a1d0587948fd,CON,PCCP_RULE,1.0,Low
59203d92-5bf6-44dc-8402-5da52e21729b,CON,PCCP_RULE,1.0,Low
4ad6b92e-cb19-4cc2-adda-19c5ffc227fc,CON,PCCP_RULE,1.0,Low
0222c9e1-f082-434f-9fdb-60f576c4eb77,CON,PCCP_RULE,2.0,Medium
15ccc072-ca71-4b22-bc40-99bccf380e35,CON,PCCP_RULE,2.0,Medium
706c38aa-9e1e-47d3-82cb-5b9ddf50aa69,CON,PCCP_RULE,2.0,Medium
f8c995db-347f-45fa-8007-7955ef9a0f41,CON,PCCP_RULE,1.0,Low
7df75fbb-3512-4774-8e16-79ed77db9c71,CON,PCCP_RULE,1.0,Low
bcf52d25-dc4d-43cb-8a12-4734da96b9e7,CON,PCCP_RULE,3.0,High
c4205f8c-3901-4e3a-b068-2b5086e3c4f3,CON,PCCP_RULE,3.0,High
e326711c-4791-45e6-84b8-ba205f9990f5,CON,PCCP_RULE,1.0,Low
a772303b-7366-4d65-82de-820d69e32284,CON,PCCP_RULE,2.0,Medium
23bf92d1-ff2c-4937-9c99-d160923d5451,CON,PCCP_RULE,2.0,Medium
9b9cbe9b-e8bb-4cf6-aaf3-06837330ff4e,CON,PCCP_RULE,1.0,Low
04339139-9ede-4151-a44e-b70daf1935ed,CON,PCCP_RULE,1.0,Low
f1608b08-a0f6-4c0f-b71b-527e489fe9a2,CON,PCCP_RULE,3.0,High
a6d6bc72-64ad-41f4-a699-170b0019b28c,CON,PCCP_RULE,3.0,High
4e97fd1e-4324-4f17-8f1a-7e523a91cafa,CON,PCCP_RULE,3.0,High
1092f947-2386-4f60-a35c-1dfbe5199b28,CON,PCCP_RULE,1.0,Low
03637ea6-5dc8-4911-bd29-b12d9c8268d7,CON,PCCP_RULE,1.0,Low
d88b654d-63b9-4516-a2e5-48420f783f00,CON,PCCP_RULE,1.0,Low
36fab0da-8e19-4f1d-b716-a2682ac4e4d4,CON,PCCP_RULE,1.0,Low
159a19c8-9ee2-4d97-a81e-85cadf3d5956,CON,PCCP_RULE,1.0,Low
01fcf5a7-bc3d-49c7-9fd0-429aedbce121,CON,PCCP_RULE,1.0,Low
61de804c-ca19-454b-85dd-1f7911c5c72a,CON,PCCP_RULE,2.0,Medium
19bbe687-c7c4-473d-b1d8-9659ee18c404,CON,PCCP_RULE,2.0,Medium
ad92ca11-0f88-451a-a854-1053b83b0a77,CON,PCCP_RULE,2.0,Medium
6dcc32df-0a2c-4485-9e54-711b9736baf1,CON,PCCP_RULE,2.0,Medium
