globalid,functional_class,uplift_lof,min_dist_m,buffer_m,source_ctp_class
6b04d57a-5928-4eb1-894c-0347fd37af14,minor_arterial,1.0,0.138,2.0,Industrial Arterial
dec010e1-f5a4-4bc0-94f3-77ec6f5790fb,major_arterial,1.5,0.000,2.0,Arterial Street
dc922760-95e9-4e20-816d-b30254ed76ac,major_arterial,1.5,0.000,2.0,Arterial Street
62bb47d4-eb2d-4abb-a997-7ad686b982c4,major_arterial,1.5,0.000,2.0,Arterial Street
44850bdf-10e4-4d96-97e9-e4e8a7a448a7,major_arterial,1.5,0.541,2.0,Arterial Street
8090bc9d-8a0f-4559-a8d6-c7085e837bfc,major_arterial,1.5,0.000,2.0,Arterial Street
6dfa6e4a-6993-44f2-bd7f-a503db6ef390,major_arterial,1.5,0.000,2.0,Arterial Street
f1bc7b3f-df2f-4b78-b1ac-3f8245eea195,major_arterial,1.5,0.000,2.0,Arterial Street
8e44a789-cced-4b35-8462-3d6cb753b152,major_arterial,1.5,1.361,2.0,Arterial Street
81e0d88e-ef5e-4eb2-8868-083961b8f6b9,major_arterial,1.5,0.422,2.0,Arterial Street
eb7f0f1b-f7d6-412f-9365-9ebf743869fd,major_arterial,1.5,0.000,2.0,Arterial Street
58d5fc8e-d287-47d7-8847-0325129cf719,major_arterial,1.5,0.000,2.0,Arterial Street
790e6ecf-1618-48c7-a21c-1729f757bc10,major_arterial,1.5,0.529,2.0,Arterial Street
ef3cec49-2310-4a1b-b76b-ce8415054bf3,major_arterial,1.5,0.000,2.0,Arterial Street
4deeacc4-7494-4dc6-a563-d1028af57f13,minor_arterial,1.0,0.000,2.0,Industrial Arterial
40cd0c60-eff6-42ae-b4ae-62855fe4c459,major_arterial,1.5,0.788,2.0,Arterial Street
09e72339-3dcb-4ed5-9731-bdd7198813ac,major_arterial,1.5,0.000,2.0,Arterial Street
b088a4c6-9e59-4bc0-9ad5-239c43c32d49,major_arterial,1.5,0.000,2.0,Arterial Street
9227721a-3474-406d-9735-8a63c926936a,major_arterial,1.5,0.940,2.0,Arterial Street
66d9e86c-d836-4159-800b-58869e2db886,minor_arterial,1.0,1.111,2.0,Industrial Arterial
53276c41-bbae-4fa1-a027-266b1ad0a651,major_arterial,1.5,0.000,2.0,Local Arterial
765fdc56-28bc-4bd9-bf7b-67d8990d00d4,minor_arterial,1.0,0.000,2.0,Industrial Arterial
58cfc8fb-6d25-4236-a199-d21927025743,major_arterial,1.5,0.000,2.0,Arterial Street
69f37a76-6cc9-4e4f-9a0c-2d18fd04699f,major_arterial,1.5,0.000,2.0,Arterial Street
3f2aa3ce-05a0-4836-bd07-c12f9845643a,major_arterial,1.5,1.211,2.0,Arterial Street
70a5c81f-a781-4130-b243-3bbbd4253012,expressway_freeway,2.0,1.327,2.0,Skeletal Road
0101b1f5-7e7a-4c0f-90f9-47529bd1878c,expressway_freeway,2.0,1.594,2.0,Skeletal Road
5c01ac90-df56-4a45-ae70-8a242c044fff,minor_arterial,1.0,0.000,2.0,Industrial Arterial
21663622-70ce-437c-b1d5-7b1ec4a6b202,major_arterial,1.5,0.000,2.0,Arterial Street
8dab9de8-b6b9-496e-be13-0c8ea4c5ddbe,major_arterial,1.5,0.460,2.0,Arterial Street
cf82c9cb-ca0d-4ab7-9125-72270eeebbfb,major_arterial,1.5,0.000,2.0,Arterial Street
910b577c-9c0c-41ee-8a8a-6e994508634c,major_arterial,1.5,0.939,2.0,Arterial Street
249c8873-a916-40b7-a1c8-4abdd61f75bf,major_arterial,1.5,0.000,2.0,Arterial Street
7f4e7765-2102-4936-8c4d-b66c295477f4,major_arterial,1.5,0.000,2.0,Arterial Street
ac18a799-586f-48ea-8082-c3f7f5f3f27f,major_arterial,1.5,0.000,2.0,Arterial Street
4acb6dd9-e6c8-41f1-9c5a-0ccba92c2e74,major_arterial,1.5,0.000,2.0,Arterial Street
050310f5-b4ca-4230-a7e7-445fa1152131,major_arterial,1.5,0.000,2.0,Arterial Street
7ff15655-9ada-4d09-88be-28623f89fdf1,major_arterial,1.5,0.000,2.0,Arterial Street
8163349a-5d5a-47a6-90c4-3037567a5d7f,major_arterial,1.5,0.000,2.0,Arterial Street
1673a079-7fd3-48e8-aa59-7adf338db430,minor_arterial,1.0,0.000,2.0,Industrial Arterial
94bafe8e-f206-49c4-b6af-9a0a38f0ea62,expressway_freeway,2.0,0.000,2.0,Skeletal Road
48335cb0-03af-4922-9b32-8e5118ca4b83,minor_arterial,1.0,0.000,2.0,Industrial Arterial
9747aafa-4986-4a34-a07d-2b6aefa61738,minor_arterial,1.0,0.000,2.0,Industrial Arterial
be0b5a1d-a774-4b51-b1ce-03530b33abf7,expressway_freeway,2.0,1.594,2.0,Skeletal Road
7f2bd08a-dc06-4575-b61f-b7579bf7ec9f,minor_arterial,1.0,0.580,2.0,Urban Boulevard
85731e56-4dbf-46ff-9e4e-b07134e3747a,major_arterial,1.5,0.000,2.0,Arterial Street
bdbcf35a-0190-4af2-9fbb-9de817fca460,major_arterial,1.5,0.807,2.0,Arterial Street
aefdbfef-5d59-46cb-83d7-7815293ea82b,minor_arterial,1.0,1.625,2.0,Industrial Arterial
05b7d926-07a4-491d-9732-540a82be4ce9,minor_arterial,1.0,0.000,2.0,Industrial Arterial
